,percent_dem,percent_gop,state_abbr,GeoName
2587,0.319958057,0.637801468,TX,Guadalupe County
2588,0.237446035,0.721086117,TX,Hale County
2589,0.150596878,0.818181818,TX,Hall County
2590,0.132723746,0.846771959,TX,Hamilton County
2591,0.087827427,0.888546482,TX,Hansford County
2592,0.164791529,0.798808736,TX,Hardeman County
2593,0.122057273,0.860857344,TX,Hardin County
2594,0.542235052,0.418271116,TX,Harris County
2595,0.270444546,0.709755728,TX,Harrison County
2596,0.088431877,0.887917738,TX,Hartley County
2597,0.177903683,0.79490085,TX,Haskell County
2598,0.463019406,0.471589956,TX,Hays County
2599,0.107291049,0.865441612,TX,Hemphill County
2600,0.189214537,0.78961648,TX,Henderson County
2601,0.686392277,0.28098734,TX,Hidalgo County
2602,0.19642027,0.780644661,TX,Hill County
2603,0.172617413,0.795523208,TX,Hockley County
2604,0.153177642,0.818032159,TX,Hood County
2605,0.186108638,0.79430098,TX,Hopkins County
2606,0.238255842,0.747410263,TX,Houston County
2607,0.20340543,0.763345605,TX,Howard County
2608,0.371986223,0.57749713,TX,Hudspeth County
2609,0.202052269,0.765303832,TX,Hunt County
2610,0.105094758,0.866231848,TX,Hutchinson County
2611,0.118421053,0.868421053,TX,Irion County
2612,0.094040132,0.890386343,TX,Jack County
2613,0.171374408,0.808720379,TX,Jackson County
2614,0.193393753,0.792300202,TX,Jasper County
2615,0.359148936,0.590638298,TX,Jeff Davis County
2616,0.485377105,0.490230418,TX,Jefferson County
2617,0.771590373,0.202925908,TX,Jim Hogg County
2618,0.541713915,0.438279605,TX,Jim Wells County
2619,0.191653571,0.774751179,TX,Johnson County
2620,0.15761969,0.811699258,TX,Jones County
2621,0.273357228,0.707048984,TX,Karnes County
2622,0.250494156,0.720783816,TX,Kaufman County
2623,0.182233146,0.785664125,TX,Kendall County
2624,0.532258065,0.451612903,TX,Kenedy County
2625,0.136258661,0.831408776,TX,Kent County
2626,0.202035513,0.764746644,TX,Kerr County
2627,0.105912596,0.872493573,TX,Kimble County
2628,0.031446541,0.937106918,TX,King County
2629,0.320926966,0.657303371,TX,Kinney County
2630,0.496994622,0.460191922,TX,Kleberg County
2631,0.181885125,0.793814433,TX,Knox County
2632,0.193073313,0.784700869,TX,Lamar County
2633,0.197183099,0.778489117,TX,Lamb County
2634,0.181494662,0.781813719,TX,Lampasas County
2635,0.549048316,0.424597365,TX,La Salle County
2636,0.135526468,0.850110043,TX,Lavaca County
2637,0.210364919,0.766022692,TX,Lee County
2638,0.12272175,0.862832456,TX,Leon County
2639,0.200827986,0.780625129,TX,Liberty County
2640,0.228556485,0.751438285,TX,Limestone County
2641,0.102118003,0.876701967,TX,Lipscomb County
2642,0.173189595,0.808530584,TX,Live Oak County
2643,0.175869712,0.798207574,TX,Llano County
2644,0.0625,0.890625,TX,Loving County
2645,0.285090761,0.66863145,TX,Lubbock County
2646,0.201802704,0.774161242,TX,Lynn County
2647,0.205696941,0.781928555,TX,Madison County
2648,0.274845459,0.705658583,TX,Marion County
2649,0.151566952,0.827920228,TX,Martin County
2650,0.171943497,0.806624452,TX,Mason County
2651,0.284998727,0.69165464,TX,Matagorda County
2652,0.765160436,0.207241684,TX,Maverick County
2653,0.155541154,0.825016202,TX,McCulloch County
2654,0.345613699,0.616510127,TX,McLennan County
2655,0.080482897,0.913480885,TX,McMullen County
2656,0.269040554,0.701344039,TX,Medina County
2657,0.177906977,0.791860465,TX,Menard County
2658,0.204972002,0.756794454,TX,Midland County
2659,0.237248751,0.736609736,TX,Milam County
2660,0.108132261,0.870866845,TX,Mills County
2661,0.161187215,0.812785388,TX,Mitchell County
2662,0.102859135,0.874709437,TX,Montague County
2663,0.225247805,0.739539991,TX,Montgomery County
2664,0.208285823,0.75522615,TX,Moore County
2665,0.287066882,0.693593876,TX,Morris County
2666,0.064516129,0.920967742,TX,Motley County
2667,0.304146233,0.65764601,TX,Nacogdoches County
2668,0.244048346,0.731534611,TX,Navarro County
2669,0.243890274,0.73840399,TX,Newton County
2670,0.216905565,0.748524452,TX,Nolan County
2671,0.472325362,0.487735432,TX,Nueces County
2672,0.091915465,0.881583361,TX,Ochiltree County
2673,0.082539683,0.899470899,TX,Oldham County
2674,0.179969145,0.799250653,TX,Orange County
2675,0.167076167,0.808058968,TX,Palo Pinto County
2676,0.17622203,0.811005474,TX,Panola County
2677,0.147643274,0.823090422,TX,Parker County
2678,0.30092264,0.678140525,TX,Parmer County
2679,0.372210223,0.591072714,TX,Pecos County
2680,0.206799443,0.771890605,TX,Polk County
2681,0.26897282,0.688280974,TX,Potter County
2682,0.661824784,0.295960054,TX,Presidio County
2683,0.133693305,0.846436285,TX,Rains County
2684,0.154981138,0.806106331,TX,Randall County
2685,0.185555556,0.787777778,TX,Reagan County
2686,0.15613826,0.823599523,TX,Real County
2687,0.223042549,0.762385856,TX,Red River County
2688,0.521042714,0.445037688,TX,Reeves County
2689,0.351103565,0.62139219,TX,Refugio County
2690,0.036363636,0.952727273,TX,Roberts County
2691,0.314265335,0.665477889,TX,Robertson County
2692,0.243694503,0.718358673,TX,Rockwall County
2693,0.120053121,0.860823373,TX,Runnels County
2694,0.207170685,0.772612404,TX,Rusk County
2695,0.132270573,0.859974149,TX,Sabine County
2696,0.254560763,0.735335392,TX,San Augustine County
2697,0.197379913,0.781174187,TX,San Jacinto County
2698,0.363733556,0.604471715,TX,San Patricio County
2699,0.124468989,0.860237893,TX,San Saba County
2700,0.19829222,0.777039848,TX,Schleicher County
2701,0.139327124,0.836913134,TX,Scurry County
2702,0.068575233,0.917443409,TX,Shackelford County
2703,0.19367284,0.790454145,TX,Shelby County
2704,0.102893891,0.864951768,TX,Sherman County
2705,0.266086266,0.705030002,TX,Smith County
2706,0.139318885,0.827141383,TX,Somervell County
2707,0.790864768,0.189718587,TX,Starr County
2708,0.100781929,0.878366638,TX,Stephens County
2709,0.110584518,0.867298578,TX,Sterling County
2710,0.192582026,0.791726106,TX,Stonewall County
2711,0.221201413,0.759717314,TX,Sutton County
2712,0.210958904,0.763013699,TX,Swisher County
2713,0.434500748,0.521524308,TX,Tarrant County
2714,0.221954668,0.732823753,TX,Taylor County
2715,0.320366133,0.656750572,TX,Terrell County
2716,0.240499149,0.734543392,TX,Terry County
2717,0.103960396,0.88490099,TX,Throckmorton County
2718,0.276591107,0.698016565,TX,Titus County
2719,0.239266219,0.718454755,TX,Tom Green County
2720,0.662632889,0.274047536,TX,Travis County
2721,0.19291207,0.791875627,TX,Trinity County
2722,0.15597942,0.828334797,TX,Tyler County
2723,0.149390627,0.829124262,TX,Upshur County
2724,0.219135802,0.741512346,TX,Upton County
2725,0.432296329,0.540286482,TX,Uvalde County
2726,0.513505491,0.434550312,TX,Val Verde County
2727,0.128728849,0.850016137,TX,Van Zandt County
2728,0.284963908,0.684873679,TX,Victoria County
2729,0.309150028,0.654270182,TX,Walker County
2730,0.343643434,0.629673946,TX,Waller County
